video_id,views,likes,comments,score
v00122,715147,33153,6400,754700
v00123,901623,20531,3992,926146
v00124,820704,31692,1981,854377
v00125,348502,17485,6878,372865
v00126,943106,22891,7960,973957
v00127,798730,49941,1677,850348
v00128,626811,22076,124,649011
v00129,717359,14337,4421,736117
v00130,975813,8573,4640,989026
v00131,769836,1638,1951,773425
v00132,595770,14109,783,610662
v00133,563218,12638,9518,585374
v00134,986061,3808,8907,998776
v00135,369168,36943,2458,408569
v00136,322548,14179,7598,344325
v00137,688196,12667,6844,707707
v00138,607916,3966,1934,613816
v00139,287355,4440,8803,300598
v00140,171071,39761,4256,215088
v00141,710580,43884,955,755419
v00142,905891,10894,603,917388
v00143,448308,22712,999,472019
v00144,617791,34184,5525,657500
v00145,796083,18885,1752,816720
v00146,269162,6504,5378,281044
v00147,260953,14277,6642,281872
v00148,569275,19826,778,589879
v00149,576463,21298,3600,601361
v00150,996064,724,2842,999630
v00151,275027,4150,1149,280326
v00152,350925,22928,1013,374866
v00153,555835,13277,9479,578591
v00154,603301,26863,7940,638104
v00155,278255,30335,1771,310361
v00156,932844,35275,874,968993
v00157,550793,16129,573,567495
v00158,899888,12866,2526,915280
v00159,791731,37218,9747,838696
v00160,784338,3323,788,788449
v00161,651797,23013,5624,680434
v00162,594686,32113,2769,629568
v00163,92917,28058,4885,125860
v00164,442623,22653,6532,471808
v00165,409270,38221,2515,450006
v00166,757830,16257,2931,777018
v00167,313417,29998,9067,352482
v00168,164306,18014,4262,186582
v00169,668935,5265,7658,681858
v00170,897308,37205,8021,942534
v00171,597520,37190,7057,641767
v00172,155999,46484,963,203446
v00173,965113,1944,9726,976783
v00174,337925,27806,5769,371500
v00175,371816,1374,8562,381752
v00176,122383,41088,2608,166079
v00177,983616,49688,6084,1039388
v00178,636961,14854,6105,657920
v00179,574852,26337,5196,606385
v00180,693775,35459,6107,735341
v00181,738846,14213,6664,759723
v00182,293367,46594,9338,349299
v00183,893320,36175,2241,931736
v00184,27621,7899,2638,38158
v00185,292481,39082,5599,337162
v00186,574884,12556,7976,595416
v00187,821253,21258,3401,845912
v00188,917987,38231,4085,960303
v00189,966574,28662,4792,1000028
v00190,13508,6857,4385,24750
v00191,49460,1425,4976,55861
v00192,850524,11121,8493,870138
v00193,262880,31181,5176,299237
v00194,424583,7569,319,432471
v00195,482265,13711,8684,504660
v00196,221152,30572,1553,253277
v00197,90734,31656,5587,127977
v00198,6708,17262,7131,31101
v00199,978978,18261,3796,1001035
v00200,408052,25186,1413,434651
v00201,127904,45796,9958,183658
v00202,878110,26307,2271,906688
v00203,141779,43785,6895,192459
v00204,801912,48916,5257,856085
v00205,891236,47293,6451,944980
v00206,930864,7733,5270,943867
v00207,255175,14489,1632,271296
v00208,767960,1653,2553,772166
v00209,509337,37143,2984,549464
v00210,681383,40660,8023,730066
v00211,953163,461,1350,954974
v00212,336004,48275,2643,386922
v00213,321366,15434,4218,341018
v00214,671952,6726,5502,684180
v00215,856799,19164,4273,880236
v00216,209656,47978,3370,261004
v00217,982059,6090,8643,996792
v00218,781016,9225,4563,794804
v00219,658555,46176,8685,713416
v00220,269909,23138,3890,296937
v00221,778775,36816,311,815902
v00222,114361,1990,2742,119093
v00223,895218,2293,1594,899105
v00224,567495,31030,9988,608513
v00225,841730,2845,9062,853637
v00226,219264,12701,3202,235167
v00227,253505,22026,4556,280087
v00228,326061,37160,3385,366606
v00229,410771,39958,627,451356
v00230,527021,29972,1152,558145
v00231,174568,4826,3331,182725
v00232,809516,46498,8238,864252
v00233,363811,49101,982,413894
v00234,339874,42426,6021,388321
v00235,561451,48498,1058,611007
v00236,846962,10946,3345,861253
v00237,234428,9580,6022,250030
v00238,150551,13225,9054,172830
v00239,652865,46495,3276,702636
v00240,593769,11645,4159,609573
v00241,79847,48580,7273,135700
v00242,335661,6895,5281,347837
v00243,859078,13393,1427,873898
v00244,579127,40814,2288,622229
v00245,961388,32387,9411,1003186
v00246,307752,24433,6107,338292
v00247,549571,20004,728,570303
v00248,421661,1758,707,424126
v00249,133633,3532,6174,143339
v00250,877095,26074,2499,905668
v00251,820173,13424,2970,836567
v00252,131576,24413,842,156831
v00253,92584,13640,801,107025
v00254,664184,28768,6071,699023
v00255,239555,49305,5704,294564
v00256,30847,38293,8557,77697
v00257,190389,4473,1684,196546
v00258,208902,40787,3663,253352
v00259,806444,23243,8104,837791
v00260,528840,4315,7677,540832
v00261,15002,28156,9354,52512
v00262,537767,19019,7437,564223
v00263,500840,32021,5006,537867
v00264,398083,40730,8568,447381
v00265,447532,25028,4967,477527
v00266,432928,13500,4314,450742
v00267,466954,9360,7884,484198
v00268,306071,21412,4092,331575
v00269,258513,21759,8072,288344
v00270,180980,31631,4006,216617
v00271,545170,16044,3995,565209
v00272,938086,7326,1438,946850
v00273,139909,14712,3066,157687
v00274,777222,27614,7773,812609
v00275,462960,38365,5994,507319
v00276,687625,26792,2114,716531
v00277,49471,29717,9114,88302
v00278,327479,30425,2322,360226
v00279,536203,32269,2297,570769
v00280,822286,43930,167,866383
v00281,974886,17367,7830,1000083
v00282,774851,9823,7805,792479
v00283,277192,14644,6666,298502
v00284,44525,35341,6273,86139
v00285,215008,3606,2130,220744
v00286,624574,45581,4609,674764
v00287,15223,34432,1093,50748
v00288,103976,36477,9959,150412
v00289,34412,36985,2162,73559
v00290,850667,40651,6732,898050
v00291,264266,11235,2011,277512
v00292,37162,39251,3811,80224
v00293,435229,34062,8920,478211
v00294,151291,8670,1197,161158
v00295,557764,18346,1457,577567
v00296,567008,31377,1719,600104
v00297,772011,33632,5442,811085
v00298,788661,19263,7791,815715
v00299,832163,38181,3459,873803
v00300,403447,40752,4484,448683
v00301,174544,6656,6390,187590
v00302,318512,32137,1717,352366
v00303,189167,10613,4718,204498
v00304,566134,28040,2837,597011
v00305,375122,49593,1715,426430
v00306,367459,12741,3884,384084
v00307,287010,43894,4516,335420
v00308,504253,14150,6189,524592
v00309,824021,4344,3799,832164
v00310,231169,37407,5677,274253
v00311,724186,37881,6153,768220
v00312,442040,32637,4993,479670
v00313,886540,7607,6998,901145
v00314,563411,35885,9047,608343
v00315,656341,14348,5301,675990
v00316,391624,41117,3117,435858
v00317,647958,35564,8569,692091
v00318,648733,28874,8440,686047
v00319,250582,29797,9319,289698
v00320,924525,42382,4161,971068
v00321,241156,20031,2836,264023
v00322,211774,27279,6677,245730
v00323,267812,17906,8682,294400
v00324,128433,30075,2443,160951
v00325,992118,17154,8991,1018263
v00326,533650,21782,1537,556969
v00327,666076,45822,8948,720846
v00328,952853,27766,7880,988499
v00329,671246,7441,952,679639
v00330,889192,29347,7941,926480
v00331,55407,46802,7436,109645
v00332,338383,22175,9285,369843
v00333,913270,44069,3535,960874
v00334,517472,16534,7042,541048
v00335,437957,14991,9258,462206
v00336,263787,28936,6063,298786
v00337,779159,35154,7300,821613
v00338,198265,48469,9349,256083
v00339,501737,20044,6117,527898
v00340,540948,10636,7752,559336
v00341,626457,45450,6970,678877
v00342,479398,23938,8456,511792
v00343,921754,13196,6684,941634
v00344,724162,41673,9958,775793
v00345,515353,25905,5071,546329
v00346,188880,7816,2608,199304
v00347,315619,13738,6707,336064
v00348,284905,4991,8927,298823
v00349,189388,39638,431,229457
v00350,962487,23873,6198,992558
v00351,202309,26369,1819,230497
v00352,682878,11388,6993,701259
v00353,226177,41785,4850,272812
v00354,97393,4110,2666,104169
v00355,455125,37449,2783,495357
v00356,66579,44958,5863,117400
v00357,387822,17415,8655,413892
v00358,656275,32304,6913,695492
v00359,693419,15011,8142,716572
v00360,958170,24558,2177,984905
v00361,535129,5353,8269,548751
v00362,31114,40684,8310,80108
v00363,121692,46856,1034,169582
v00364,194585,49257,6536,250378
v00365,44962,25733,1100,71795
v00366,721753,18121,6685,746559
v00367,276567,30644,6494,313705
v00368,311914,27507,7579,347000
v00369,402323,13571,877,416771
v00370,353308,15761,376,369445
v00371,409900,44707,6161,460768
v00372,298313,103,619,299035
v00373,347593,34013,5175,386781
v00374,1652,10519,4428,16599
v00375,264042,33751,8202,305995
v00376,530892,16016,2537,549445
v00377,130346,29501,7126,166973
v00378,375650,5280,4067,384997
v00379,606470,29199,6636,642305
v00380,170545,9259,6663,186467
v00381,845108,21546,3218,869872
v00382,402531,22351,9285,434167
v00383,341945,10477,1721,354143
v00384,512837,582,510,513929
v00385,150286,37769,5920,193975
v00386,40223,41937,366,82526
v00387,607199,26515,8157,641871
v00388,590995,46787,1243,639025
v00389,878483,27020,6491,911994
v00390,131640,36193,7247,175080
v00391,426280,15126,7005,448411
v00392,328632,7767,8994,345393
v00393,27977,26775,4321,59073
v00394,259816,10104,3320,273240
v00395,491995,14805,5709,512509
v00396,545932,10092,8294,564318
v00397,742063,2606,7048,751717
v00398,154054,23909,9856,187819
v00399,664453,21599,463,686515
v00400,959496,9070,5290,973856
v00401,257818,35685,7024,300527
v00402,535681,4241,469,540391
v00403,354290,2146,4165,360601
v00404,803327,32989,4758,841074
v00405,400523,38558,7308,446389
v00406,847973,13093,876,861942
v00407,539460,31355,2627,573442
v00408,201131,15314,9809,226254
v00409,697208,3136,893,701237
v00410,807134,5516,3576,816226
v00411,961446,37747,6955,1006148
v00412,936876,46714,1864,985454
v00413,599911,32850,330,633091
v00414,55132,49389,9553,114074
v00415,127135,34002,868,162005
v00416,624128,48278,8360,680766
v00417,906555,31632,9124,947311
v00418,937353,5718,5237,948308
v00419,263108,6918,3232,273258
v00420,469161,13793,6975,489929
v00421,461384,28190,4072,493646
v00422,668143,28709,4942,701794
v00423,583616,32034,6513,622163
v00424,157747,36996,2918,197661
v00425,431346,5685,3768,440799
v00426,643281,24943,1239,669463
v00427,407645,22793,8755,439193
v00428,778901,25234,8692,812827
v00429,259621,34327,1534,295482
v00430,17666,38722,9618,66006
v00431,450212,33686,3233,487131
v00432,656429,42447,6221,705097
v00433,466857,27835,2798,497490
v00434,169781,26579,3159,199519
v00435,807092,14322,1082,822496
v00436,282882,17429,3273,303584
v00437,270239,14686,4822,289747
v00438,660153,29374,7615,697142
v00439,569704,49208,2191,621103
v00440,498753,32673,8332,539758
v00441,935240,32846,1873,969959
v00442,400285,5273,3475,409033
v00443,815628,29536,5958,851122
v00444,283412,48074,7059,338545
v00445,473477,28388,2649,504514
v00446,639234,32469,6331,678034
v00447,946548,48302,362,995212
v00448,263451,28413,5851,297715
v00449,933766,48784,5963,988513
v00450,158540,1319,7331,167190
v00451,361622,13158,2922,377702
v00452,623082,25431,2039,650552
v00453,746721,42237,8225,797183
v00454,449571,35985,3256,488812
v00455,988902,6819,2784,998505
v00456,685528,18389,5133,709050
v00457,546174,49684,3461,599319
v00458,782278,44546,4352,831176
v00459,515017,14102,1262,530381
v00460,422983,40606,6863,470452
v00461,195574,38551,6544,240669
v00462,871365,1311,4368,877044
v00463,541973,43141,1150,586264
v00464,543378,19572,403,563353
v00465,631609,2121,866,634596
v00466,172498,19866,2725,195089
v00467,951958,45621,6458,1004037
v00468,707446,30100,2683,740229
v00469,533089,12230,7622,552941
v00470,211684,32206,6889,250779
v00471,468599,10742,9660,489001
v00472,334660,45622,5415,385697
v00473,657918,27366,2196,687480
v00474,294202,47705,1772,343679
v00475,440623,45934,9981,496538
v00476,811283,7004,4147,822434
v00477,966993,597,8977,976567
v00478,463088,6894,3594,473576
v00479,383843,40894,5407,430144
v00480,558024,43285,6695,608004
v00481,405560,13335,5587,424482
v00482,100942,18986,3508,123436
v00483,350134,31199,3852,385185
v00484,635244,30450,5169,670863
v00485,425029,29310,577,454916
v00486,720951,38512,3027,762490
v00487,607985,14546,5728,628259
v00488,725618,18060,2571,746249
v00489,39987,18080,9868,67935
v00490,206536,43195,5062,254793
v00491,38569,4931,5130,48630
v00492,422257,14888,4942,442087
v00493,606471,9475,1785,617731
v00494,877345,3138,2943,883426
v00495,329100,46581,653,376334
v00496,348932,46537,1825,397294
v00497,872630,43975,1558,918163
v00498,397858,671,3872,402401
v00499,509095,25098,2154,536347
v00500,366188,18564,7315,392067
v00501,269604,20679,6634,296917
v00502,225985,625,2602,229212
v00503,850836,33685,2564,887085
v00504,966024,15014,3220,984258
v00505,867726,24492,1206,893424
v00506,378006,21238,585,399829
v00507,369784,21297,803,391884
v00508,733966,15642,5369,754977
v00509,636745,8954,2771,648470
v00510,454527,1772,6476,462775
v00511,37788,42504,7337,87629
v00512,550849,40494,4895,596238
v00513,257803,11403,1250,270456
v00514,996537,16171,2454,1015162
v00515,176999,30075,4550,211624
v00516,479904,20397,5517,505818
v00517,467732,340,4711,472783
v00518,552783,4901,7651,565335
v00519,839974,37692,6703,884369
v00520,295081,741,9758,305580
v00521,849289,3492,6754,859535
v00522,553442,10412,4698,568552
v00523,550131,18385,6628,575144
v00524,714143,6561,8492,729196
v00525,435384,31902,252,467538
v00526,798504,48777,1851,849132
v00527,60922,9644,4823,75389
v00528,978499,45044,1355,1024898
v00529,688321,24608,716,713645
v00530,624944,22895,8218,656057
v00531,471293,2637,9088,483018
v00532,543575,38593,7280,589448
v00533,267091,17772,5196,290059
v00534,699700,6687,9773,716160
v00535,358553,33068,6507,398128
v00536,377814,24870,7182,409866
v00537,459795,40414,8107,508316
v00538,883664,237,3935,887836
v00539,555878,10994,6787,573659
v00540,275167,13380,2993,291540
v00541,269447,43046,8597,321090
v00542,922383,17553,9832,949768
v00543,45517,9825,5610,60952
v00544,759839,32011,4119,795969
v00545,45521,5713,7485,58719
v00546,101952,28338,3553,133843
v00547,91684,45525,1738,138947
v00548,95189,11178,4172,110539
v00549,775591,37809,6876,820276
v00550,50545,41494,4737,96776
v00551,748272,911,9960,759143
v00552,918757,41091,2406,962254
v00553,491230,36888,3950,532068
v00554,276327,30122,6331,312780
v00555,918196,14830,6367,939393
v00556,345387,37232,8155,390774
v00557,288680,22753,1029,312462
v00558,836584,24340,1946,862870
v00559,267841,41867,7412,317120
v00560,475661,16031,1899,493591
v00561,322894,2776,786,326456
v00562,773017,30456,7112,810585
v00563,973806,46930,3630,1024366
v00564,686714,44314,8478,739506
v00565,858429,4945,6245,869619
v00566,688801,39699,5306,733806
v00567,538993,49736,2774,591503
v00568,46267,44894,2025,93186
v00569,667636,38433,1645,707714
v00570,954559,43759,5412,1003730
v00571,456651,16569,6310,479530
v00572,863630,3866,2650,870146
v00573,408671,5692,6167,420530
v00574,352069,6706,8379,367154
v00575,727897,3187,5704,736788
v00576,206102,45852,365,252319
v00577,856480,5460,9261,871201
v00578,217034,34256,7475,258765
v00579,602344,17144,2431,621919
v00580,835225,28667,9246,873138
v00581,129021,19015,1245,149281
v00582,827328,12006,6384,845718
v00583,191579,33517,306,225402
v00584,537863,40552,8320,586735
v00585,158773,14568,1619,174960
v00586,867637,7140,9934,884711
v00587,342654,10295,4151,357100
v00588,283589,924,5373,289886
v00589,277443,22561,7754,307758
v00590,172479,3989,3597,180065
v00591,313150,9330,7842,330322
v00592,965322,46740,5748,1017810
v00593,470549,41397,3445,515391
v00594,289426,4329,7178,300933
v00595,198039,47834,3090,248963
v00596,874184,49913,609,924706
v00597,371179,9874,1054,382107
v00598,501364,48707,1298,551369
v00599,858236,28803,7491,894530
v00600,947436,16004,8221,971661
v00601,470010,26599,7254,503863
v00602,30215,38559,5138,73912
v00603,520328,26079,3208,549615
v00604,769190,28415,5781,803386
v00605,273284,17260,169,290713
v00606,893383,18638,2047,914068
v00607,479084,48069,688,527841
v00608,906946,21938,4450,933334
v00609,193593,37078,374,231045
v00610,980556,38132,797,1019485
v00611,391613,8377,8842,408832
v00612,147941,28827,8575,185343
v00613,423932,15724,2221,441877
v00614,989935,21308,9205,1020448
v00615,199779,34076,2288,236143
v00616,720325,18416,1802,740543
v00617,892488,27367,8675,928530
v00618,91898,4080,7945,103923
v00619,602513,18658,8953,630124
v00620,597335,31597,5168,634100
v00621,224809,43807,3836,272452
v00622,521262,11434,191,532887
v00623,507266,8805,8838,524909
v00624,949001,4006,7994,961001
v00625,42734,21384,7771,71889
v00626,985826,19233,4187,1009246
v00627,968397,34594,5625,1008616
v00628,17128,21303,1313,39744
v00629,601618,37597,6571,645786
v00630,954492,41841,2539,998872
v00631,490632,44763,4338,539733
v00632,904278,22793,8966,936037
v00633,109718,17637,159,127514
v00634,428955,25971,2998,457924
v00635,133741,1592,908,136241
v00636,311125,4110,9016,324251
v00637,325616,37657,627,363900
v00638,466666,33491,6407,506564
v00639,427038,29204,4096,460338
v00640,547164,11391,88,558643
v00641,78620,9649,2768,91037
v00642,237566,1597,8313,247476
v00643,280812,31091,5861,317764
v00644,679861,19335,845,700041
v00645,975560,3697,9352,988609
v00646,135544,15647,113,151304
v00647,868282,41145,812,910239
v00648,640408,10576,2985,653969
v00649,286478,9923,2498,298899
v00650,395986,26363,5511,427860
v00651,51029,4378,7734,63141
v00652,696394,33131,3254,732779
v00653,575957,27253,9692,612902
v00654,875384,32040,2811,910235
v00655,905414,18653,4559,928626
v00656,737735,1369,61,739165
v00657,614026,26665,5043,645734
v00658,439293,11896,8769,459958
v00659,730545,49054,2308,781907
v00660,757617,6299,9511,773427
v00661,970674,674,5987,977335
v00662,291499,18846,2834,313179
v00663,905114,10752,247,916113
v00664,237224,21701,4372,263297
v00665,967799,18338,4068,990205
v00666,683061,11752,5077,699890
v00667,682240,39528,8166,729934
v00668,701276,44798,7206,753280
v00669,223839,16329,326,240494
v00670,845151,29884,1911,876946
v00671,69600,5121,6350,81071
v00672,122172,33552,6885,162609
v00673,651606,36822,1100,689528
v00674,961713,49325,1165,1012203
v00675,944922,47526,5633,998081
v00676,979951,1571,2414,983936
v00677,234805,12040,3038,249883
v00678,371516,17070,9997,398583
v00679,642357,41535,5038,688930
v00680,847749,35077,9966,892792
v00681,383484,37705,7247,428436
v00682,311828,5248,2441,319517
v00683,117851,11066,1729,130646
v00684,694521,2258,9431,706210
v00685,759509,38726,6791,805026
v00686,910254,14056,6008,930318
v00687,95330,10492,9013,114835
v00688,19691,31003,4942,55636
v00689,447502,26283,6804,480589
v00690,326646,1238,3448,331332
v00691,624726,17838,1227,643791
v00692,628898,33054,6042,667994
v00693,271969,7132,2437,281538
v00694,182233,48727,9209,240169
v00695,488624,1972,6469,497065
v00696,896106,5516,9448,911070
v00697,396229,3832,9237,409298
v00698,963094,27480,278,990852
v00699,564618,36710,5010,606338
v00700,872980,5593,3652,882225
v00701,692692,4978,5695,703365
v00702,60719,29267,3795,93781
v00703,44614,47637,2591,94842
v00704,955584,193,9703,965480
v00705,366332,46053,5156,417541
v00706,204888,11194,5662,221744
v00707,45450,24014,1786,71250
v00708,1776,31512,2944,36232
v00709,298373,14894,3026,316293
v00710,690480,15057,2615,708152
v00711,704605,22119,9309,736033
v00712,836021,16643,2469,855133
v00713,693115,42492,4014,739621
v00714,535451,43800,2660,581911
v00715,229249,40070,477,269796
v00716,524980,4359,9864,539203
v00717,251316,43196,2724,297236
v00718,71303,28366,6650,106319
v00719,657585,9144,8082,674811
v00720,275833,41304,2619,319756
v00721,144776,5831,7690,158297
v00722,507338,3733,9145,520216
v00723,429531,39008,4938,473477
v00724,860371,15964,8265,884600
v00725,382237,106,9031,391374
v00726,613567,30430,4658,648655
v00727,823548,21875,9909,855332
v00728,888123,25562,4412,918097
v00729,605089,15850,2669,623608
v00730,44437,31488,7630,83555
v00731,192497,44681,5179,242357
v00732,142119,37966,8279,188364
v00733,803099,47044,707,850850
v00734,444667,14890,4181,463738
v00735,890126,35194,8943,934263
v00736,650518,13739,5876,670133
v00737,437705,2453,5905,446063
v00738,385760,31557,6283,423600
v00739,725955,13761,9322,749038
v00740,115201,984,7096,123281
v00741,747812,3548,3196,754556
v00742,482143,47188,3861,533192
v00743,349294,25067,5224,379585
v00744,421038,28619,5767,455424
v00745,798653,36186,6115,840954
v00746,668829,25139,1124,695092
v00747,825563,3683,5270,834516
v00748,890443,2515,1452,894410
v00749,652363,28185,5689,686237
v00750,225569,40885,3004,269458
v00751,246641,46654,1117,294412
v00752,389139,5867,1990,396996
v00753,242591,33736,1011,277338
v00754,791997,46273,1110,839380
v00755,299321,4275,8766,312362
v00756,642742,6573,7863,657178
v00757,104082,7823,4262,116167
v00758,999794,6998,3397,1010189
v00759,78222,5838,2675,86735
v00760,712253,10304,3763,726320
v00761,380292,13312,2813,396417
v00762,117898,8333,1538,127769
v00763,201360,29269,2853,233482
v00764,282009,26800,8024,316833
v00765,614228,48722,3120,666070
v00766,453163,45992,5520,504675
v00767,541678,8215,7222,557115
v00768,676802,14141,9594,700537
v00769,475670,3085,1709,480464
v00770,294210,2006,5054,301270
v00771,558308,3911,9046,571265
v00772,953387,11341,157,964885
v00773,242933,39764,437,283134
v00774,295495,20333,2620,318448
v00775,249954,42092,4121,296167
v00776,43713,49286,1797,94796
v00777,318946,3872,2599,325417
v00778,693061,36837,1893,731791
v00779,936855,19957,9623,966435
v00780,912877,33648,5157,951682
v00781,159562,27535,7416,194513
v00782,281597,34390,7564,323551
v00783,925109,38211,4620,967940
v00784,947725,34252,4602,986579
v00785,526535,21605,4247,552387
v00786,719221,48335,1028,768584
v00787,607057,46343,7460,660860
v00788,119838,41785,7747,169370
v00789,852222,42386,6646,901254
v00790,852996,42252,7765,903013
v00791,94841,39350,1083,135274
v00792,162244,37279,6298,205821
v00793,316322,39487,4440,360249
v00794,769748,7600,7942,785290
v00795,411975,21491,7034,440500
v00796,77114,16272,9648,103034
v00797,364665,29013,2670,396348
v00798,843677,32113,2520,878310
v00799,257826,38693,1674,298193
v00800,28336,18921,3844,51101
v00801,18673,46241,7873,72787
v00802,108031,8644,5135,121810
v00803,307248,27466,4174,338888
v00804,282219,16179,9673,308071
v00805,134933,32607,9808,177348
v00806,313691,3990,8290,325971
v00807,453030,47901,3117,504048
v00808,130562,24944,5716,161222
v00809,991404,16787,9878,1018069
v00810,726665,33473,2294,762432
v00811,757929,47160,5199,810288
v00812,902414,8855,6823,918092
v00813,692537,39798,7132,739467
v00814,2218,36004,3178,41400
v00815,214915,35640,9123,259678
v00816,781527,49288,6668,837483
v00817,806211,44798,698,851707
v00818,336566,18538,3491,358595
v00819,278677,167,2857,281701
v00820,319868,32929,7707,360504
v00821,398499,22208,4800,425507
v00822,932338,19614,6858,958810
v00823,284694,5697,9986,300377
v00824,52414,30612,846,83872
v00825,320822,39791,7945,368558
v00826,896308,29043,2751,928102
v00827,461027,36337,5542,502906
v00828,147364,48667,1495,197526
v00829,875038,340,750,876128
v00830,387543,27671,7999,423213
v00831,29586,40095,6297,75978
v00832,783884,4058,8266,796208
v00833,46455,40483,8791,95729
v00834,202873,17552,8157,228582
v00835,772564,39050,3719,815333
v00836,489495,31019,5283,525797
v00837,841653,24611,3626,869890
v00838,37600,43467,4521,85588
v00839,562183,24175,7427,593785
v00840,481893,16088,656,498637
v00841,911940,39490,7888,959318
v00842,490321,23771,1788,515880
v00843,867049,36615,2431,906095
v00844,506236,38488,440,545164
v00845,903465,16534,4237,924236
v00846,79139,2966,6787,88892
v00847,98141,24223,2629,124993
v00848,9227,27626,4359,41212
v00849,593929,19734,5231,618894
v00850,267071,38507,4506,310084
v00851,974688,13449,1363,989500
v00852,220764,2802,8193,231759
v00853,896563,49839,9784,956186
v00854,67977,44886,3975,116838
v00855,250341,18268,997,269606
v00856,957610,37088,9576,1004274
v00857,994480,46223,7477,1048180
v00858,755573,32074,5676,793323
v00859,595983,18242,6598,620823
v00860,824954,48823,8774,882551
v00861,375090,12884,3873,391847
v00862,667541,43409,5747,716697
v00863,747591,42106,2841,792538
v00864,893179,20473,7981,921633
v00865,893561,16906,2886,913353
v00866,288942,29167,6286,324395
v00867,367985,39641,2802,410428
v00868,843612,38762,5689,888063
v00869,185566,37020,9874,232460
v00870,580720,4869,9118,594707
v00871,624775,11445,5123,641343
v00872,166884,6099,7788,180771
v00873,339178,34435,2242,375855
v00874,600570,31060,5131,636761
v00875,39839,28043,4571,72453
v00876,451221,11362,8917,471500
v00877,217124,16126,8037,241287
v00878,965951,24890,7019,997860
